MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
50810D_4,0.41204627,0.680394894,0.314718787,2.588851217,4.395193458,0.202034304,0.155863582,2.954527323,0.200438771,1.28061428,0.563023534,0.291184683,0.369365776,0.25378939,0.893398484,0.574591145,1.64289988,2.075089749,0.526924611,0.726465895,0.348025529,0.348424412,0.145592341,1.412345433,2.885620263,1.321998404,0.231352214,0.29597128,0.725568408,0.144694854,0.375249302,2.424311927,0.293577982,0.402971679,0.330674112,0.724371759,0.463801356,0.36856801,0.493717591,0.402373355,0.273234942,0.379936179,0.33416434,0.217819952,1.129336373,0.20463368,2.285291762,0.353071662,0.613839423,1.153921991,0.150902705,0.179308645,0.203771027,0.112083308,0.164458685,0.190153429,0.15718775,0.13235566,0.2775895,0.142091318,0.488569844,0.292254606,1.934931296,2.307351038,0.145357077,1.098034383,0.991126995,0.217758334,0.130691971,0.108940785,0.112083308,0.12298971,0.477848296,0.131862715,0.161685871,0.144001479,1.864933144,Control,Saline,C/S,c-CS-s
50810D_5,0.417048669,0.654150005,0.311225983,2.491075783,4.172729933,0.197600702,0.157612406,2.878279528,0.205208232,1.154686433,0.52589486,0.267726519,0.353750122,0.24285575,0.870671998,0.550863162,1.583829123,1.995415976,0.508143958,0.699795182,0.333170779,0.327513898,0.147664098,1.377840632,2.77118892,1.293670145,0.229201209,0.264312884,0.704964401,0.144835658,0.366331805,2.363015703,0.283721838,0.401541012,0.349068565,0.694138301,0.44357749,0.359504535,0.465619819,0.379986345,0.267141324,0.372768946,0.317760655,0.219821716,1.148755726,0.203231398,2.312306549,0.358858487,0.613284635,1.067970781,0.157546119,0.171350749,0.208926582,0.114770336,0.153336635,0.183112542,0.160950848,0.123870249,0.280735422,0.14436053,0.498823821,0.295716231,1.892039123,2.341463415,0.14169865,1.104494243,0.988238207,0.223659775,0.150241426,0.110622756,0.114770336,0.120836944,0.433576823,0.117432215,0.158536585,0.146341463,1.896805745,Control,Saline,C/S,c-CS-s
50810D_6,0.453835508,0.659450376,0.304270463,2.523428233,4.233689205,0.194938711,0.161328588,2.949485963,0.218663503,1.300118624,0.542111507,0.274713325,0.356959272,0.25029656,0.869019375,0.566330565,1.626828786,2.055753262,0.514827995,0.712336892,0.357354686,0.32245947,0.147587979,1.428034796,2.889976275,1.293396599,0.234381178,0.270264927,0.731514433,0.14491894,0.378706999,2.424179518,0.288948201,0.408066429,0.381277185,0.724594701,0.453341242,0.355179913,0.476967181,0.384539344,0.267101621,0.383649664,0.299822064,0.221374523,1.158589206,0.199424676,2.342442624,0.344318679,0.617159652,1.086236008,0.156087799,0.17953849,0.207116503,0.111437684,0.156650616,0.192420737,0.172722156,0.123757113,0.281470827,0.143705835,0.499843662,0.294228003,1.853980364,2.329810518,0.145269214,1.096116566,0.986554937,0.218935651,0.132699644,0.106622475,0.111437684,0.126321056,0.468200863,0.125445563,0.144456257,0.14920893,1.856356701,Control,Saline,C/S,c-CS-s
50810D_7,0.405807986,0.585179622,0.286518964,2.341219176,3.782826386,0.201276756,0.158342721,2.671423207,0.194642634,1.140943798,0.485041933,0.269370384,0.363750156,0.242959069,0.821629741,0.512204281,1.509826011,2.18375266,0.530980098,0.626361247,0.333959194,0.351358117,0.152209288,1.101264238,2.457378896,1.232069095,0.219426712,0.269871073,0.660032545,0.142070347,0.36575291,2.148954813,0.276129678,0.401802478,0.343472274,0.691200401,0.453874077,0.340593316,0.49317812,0.391037677,0.275879334,0.373138065,0.399424208,0.193615706,1.000850209,0.194929665,2.218503633,0.318673674,0.545988561,1.070876488,0.138120266,0.163240068,0.206291544,0.111377338,0.149404854,0.172051322,0.148168187,0.129309012,0.258154274,0.130545679,0.497913124,0.28342866,1.746869686,2.193151955,0.139434225,1.191296955,0.969701654,0.204513835,0.138352141,0.107899212,0.111377338,0.11647859,0.463518318,0.131627763,0.152187355,0.14105735,1.805765961,Control,Saline,C/S,c-CS-s
50810D_8,0.392395718,0.595668758,0.285345146,2.33382552,3.648086625,0.212255445,0.15282392,2.651531931,0.181616833,1.121939215,0.468807678,0.2577827,0.343054017,0.23108158,0.786267996,0.504122062,1.458840901,2.101021287,0.511258767,0.617940199,0.293097084,0.306632214,0.143349329,1.10200566,2.427956195,1.223698782,0.21976129,0.241663591,0.633690169,0.142980189,0.352159468,2.110495878,0.275624462,0.391903531,0.362003199,0.669127599,0.442598745,0.32065953,0.470284238,0.356712194,0.270333456,0.36052664,0.385628153,0.193992095,0.977786561,0.19541502,2.231778656,0.334150198,0.562924901,1.097865613,0.142608696,0.175494071,0.202371542,0.117786561,0.158577075,0.175889328,0.148221344,0.124505929,0.265059289,0.137470356,0.513913043,0.288537549,1.755889328,2.243478261,0.140474308,1.112648221,0.961422925,0.215019763,0.135573123,0.10916996,0.117786561,0.11770751,0.4456917,0.09826087,0.147667984,0.154940711,1.842608696,Control,Saline,C/S,c-CS-s
50810D_9,0.40444979,0.5884546,0.278532772,2.23728202,3.471196633,0.192062538,0.148767288,2.611665664,0.178592904,1.144076969,0.463619964,0.26193626,0.331088394,0.232471437,0.789657246,0.49921828,1.43439567,2.027179796,0.503307276,0.625496091,0.302345159,0.300180397,0.144798557,1.056764883,2.419362598,1.17847264,0.213710162,0.27191822,0.628141912,0.137823211,0.336019242,2.074924835,0.281058328,0.387853277,0.370895971,0.670354781,0.429464823,0.317739026,0.453156945,0.355862898,0.26193626,0.355862898,0.368490679,0.198843095,1.014059613,0.196513216,2.271953081,0.333092311,0.545352294,1.045392464,0.143006347,0.169679441,0.204386599,0.107013738,0.150558367,0.174178517,0.148549851,0.123563911,0.278380333,0.137543183,0.477384109,0.284164859,1.740821081,2.204707962,0.129428778,1.082108139,0.946975175,0.214911224,0.148308829,0.114324737,0.107013738,0.117940066,0.433518117,0.12091267,0.144211457,0.18823813,1.888487186,Control,Saline,C/S,c-CS-s
50810D_10,0.356388845,0.548290531,0.267685521,2.172680006,3.235701906,0.191429022,0.15456121,2.292106507,0.168898692,1.042067118,0.434063337,0.257602017,0.333858516,0.234283914,0.752166378,0.439892863,1.351819757,2.038916023,0.512998267,0.556956042,0.322987238,0.308964865,0.152828108,0.88325193,2.079722704,1.153773436,0.215692453,0.232393257,0.584055459,0.144005042,0.346778005,1.879785726,0.270521506,0.406333701,0.369308335,0.67527966,0.458641878,0.337797385,0.481959981,0.385851583,0.292736726,0.371041437,0.46037498,0.181844408,0.931339552,0.188479662,2.196845851,0.295509184,0.497163189,1.030868353,0.122800269,0.162227137,0.191076065,0.107125685,0.147225695,0.158188287,0.14395615,0.124915857,0.252043466,0.122319454,0.459948072,0.276853544,1.599865372,2.102413694,0.142032888,1.085969805,0.920184633,0.198961439,0.153476296,0.12001154,0.107125685,0.11847293,0.397922877,0.135205308,0.156265025,0.141840562,1.683623425,Control,Saline,C/S,c-CS-s
50810D_11,0.357712358,0.49616682,0.263722784,2.100122662,3.06025759,0.195338853,0.150107329,2.179852806,0.164520086,1.022539098,0.410303588,0.243943576,0.316927323,0.214964735,0.706685066,0.43866912,1.292088316,1.859705612,0.497393438,0.540631708,0.274609016,0.287028519,0.163600123,0.863538792,1.987273842,1.110855566,0.206071757,0.222171113,0.567003987,0.13799448,0.323213738,1.817693959,0.264949402,0.401563937,0.371358479,0.6533272,0.431616069,0.334406624,0.459521619,0.364305428,0.274609016,0.362925483,0.426862925,0.185595296,0.928270456,0.19088682,2.191180794,0.323860853,0.483194512,0.989024988,0.12866242,0.164723175,0.195688388,0.107986281,0.151984321,0.164821166,0.146202842,0.124938756,0.244487996,0.124252817,0.47388535,0.27633513,1.58588927,2.145516903,0.146692798,1.088486036,0.930524253,0.203723665,0.145026948,0.117491426,0.107986281,0.12199902,0.365213131,0.099657031,0.155805977,0.160313572,1.691229789,Control,Saline,C/S,c-CS-s
50810D_12,0.316723855,0.503505893,0.251379979,2.017604058,2.937043115,0.182903178,0.147545875,2.131433686,0.161271073,1.073250783,0.421900642,0.236162912,0.296583619,0.21781292,0.710875727,0.424436819,1.258540952,1.82888259,0.489183947,0.537371326,0.282112487,0.286140534,0.142473519,0.852454125,1.974489035,1.085036551,0.206474713,0.224377145,0.557064001,0.134417425,0.310905565,1.751752946,0.270028346,0.389228704,0.41369536,0.628822915,0.413247799,0.309413695,0.433686409,0.351931971,0.268984037,0.34954498,0.422795763,0.186933957,0.961738069,0.188765646,2.26121909,0.309351786,0.51124453,0.939554289,0.134629083,0.181438893,0.193141345,0.107459041,0.151114277,0.167599471,0.150300193,0.125572403,0.257657474,0.122316068,0.455785082,0.277704284,1.619822937,2.175435026,0.144194566,1.106136155,0.916149384,0.213696957,0.146840338,0.119873817,0.107459041,0.140429429,0.429836166,0.126895288,0.183168821,0.16739595,1.735219294,Control,Saline,C/S,c-CS-s
50810D_13,0.358602151,0.518100358,0.249283154,2.041935484,2.937992832,0.18655914,0.149283154,2.0390681,0.163978495,1.113799283,0.448207885,0.262544803,0.328673835,0.223655914,0.737455197,0.437634409,1.276702509,1.918458781,0.501433692,0.600896057,0.300179211,0.305913978,0.151075269,0.851612903,1.88046595,1.078853047,0.198207885,0.218100358,0.526702509,0.14390681,0.308422939,1.6609319,0.260752688,0.402867384,0.360752688,0.66953405,0.486738351,0.321863799,0.511290323,0.408243728,0.298924731,0.365412186,0.40609319,0.165538535,0.85761786,0.183826149,2.086094288,0.245220283,0.434390215,0.942287139,0.115900724,0.166013538,0.181213633,0.099750623,0.133713336,0.149032181,0.144282152,0.118988244,0.228595179,0.121007006,0.450777817,0.258995369,1.408502553,1.956537228,0.15675098,1.060681629,0.894074338,0.196057475,0.137750861,0.114831968,0.099750623,0.123500772,0.379764874,0.132050825,0.170882318,0.150575941,1.510628191,Control,Saline,C/S,c-CS-s
